Frame Number,Object ID,Object Class,Zone,Total Left ROI,Total Right ROI,Traffic Status
5,1,Car,Right Lane,0,1,Light
6,1,Car,Right Lane,0,1,Light
7,1,Car,Right Lane,0,1,Light
8,1,Car,Right Lane,0,1,Light
9,1,Car,Right Lane,0,1,Light
10,1,Car,Right Lane,0,1,Light
11,1,Car,Right Lane,1,1,Light
11,2,Car,Left Lane,1,1,Light
12,1,Car,Right Lane,0,1,Light
13,1,Car,Right Lane,1,1,Light
13,3,Car,Left Lane,1,1,Light
14,1,Car,Right Lane,1,1,Light
14,3,Car,Left Lane,1,1,Light
15,1,Car,Right Lane,0,1,Light
16,1,Car,Right Lane,0,1,Light
17,1,Car,Right Lane,0,1,Light
18,1,Car,Right Lane,0,1,Light
19,1,Car,Right Lane,0,2,Light
19,4,Car,Right Lane,0,2,Light
20,1,Car,Right Lane,1,2,Light
20,4,Car,Right Lane,1,2,Light
20,5,Car,Left Lane,1,2,Light
21,1,Car,Right Lane,0,1,Light
22,1,Car,Right Lane,0,1,Light
23,1,Car,Right Lane,0,2,Light
23,6,Car,Right Lane,0,2,Light
24,1,Car,Right Lane,0,2,Light
24,6,Car,Right Lane,0,2,Light
25,1,Car,Right Lane,0,2,Light
25,6,Car,Right Lane,0,2,Light
26,1,Car,Right Lane,0,2,Light
26,6,Car,Right Lane,0,2,Light
27,1,Car,Right Lane,1,3,Light
27,6,Car,Right Lane,1,3,Light
27,7,Car,Right Lane,1,3,Light
27,8,Car,Left Lane,1,3,Light
28,1,Car,Right Lane,0,2,Light
28,6,Car,Right Lane,0,2,Light
29,1,Car,Right Lane,0,2,Light
29,6,Car,Right Lane,0,2,Light
30,1,Car,Right Lane,0,2,Light
30,6,Car,Right Lane,0,2,Light
31,1,Car,Right Lane,1,2,Light
31,6,Car,Right Lane,1,2,Light
31,9,Car,Left Lane,1,2,Light
32,1,Car,Right Lane,0,2,Light
32,6,Car,Right Lane,0,2,Light
33,1,Car,Right Lane,1,1,Light
33,6,Car,Left Lane,1,1,Light
34,1,Car,Right Lane,0,2,Light
34,6,Car,Right Lane,0,2,Light
35,1,Car,Right Lane,1,2,Light
35,6,Car,Right Lane,1,2,Light
35,10,Car,Left Lane,1,2,Light
36,1,Car,Right Lane,1,2,Light
36,6,Car,Right Lane,1,2,Light
36,10,Car,Left Lane,1,2,Light
37,1,Car,Right Lane,1,2,Light
37,6,Car,Right Lane,1,2,Light
37,10,Car,Left Lane,1,2,Light
38,1,Car,Right Lane,2,2,Light
38,6,Car,Right Lane,2,2,Light
38,10,Car,Left Lane,2,2,Light
38,11,Car,Left Lane,2,2,Light
39,1,Car,Right Lane,2,3,Light
39,6,Car,Right Lane,2,3,Light
39,10,Car,Left Lane,2,3,Light
39,11,Car,Left Lane,2,3,Light
39,12,Car,Right Lane,2,3,Light
40,1,Car,Right Lane,2,2,Light
40,6,Car,Right Lane,2,2,Light
40,10,Car,Left Lane,2,2,Light
40,11,Car,Left Lane,2,2,Light
41,1,Car,Right Lane,2,2,Light
41,6,Car,Right Lane,2,2,Light
41,10,Car,Left Lane,2,2,Light
41,11,Car,Left Lane,2,2,Light
42,1,Car,Right Lane,2,2,Light
42,6,Car,Right Lane,2,2,Light
42,10,Car,Left Lane,2,2,Light
42,11,Car,Left Lane,2,2,Light
43,1,Car,Right Lane,2,2,Light
43,6,Car,Right Lane,2,2,Light
43,10,Car,Left Lane,2,2,Light
43,11,Car,Left Lane,2,2,Light
44,1,Car,Right Lane,2,2,Light
44,6,Car,Right Lane,2,2,Light
44,10,Car,Left Lane,2,2,Light
44,11,Car,Left Lane,2,2,Light
45,1,Car,Right Lane,2,2,Light
45,6,Car,Right Lane,2,2,Light
45,10,Car,Left Lane,2,2,Light
45,11,Car,Left Lane,2,2,Light
46,1,Car,Right Lane,2,2,Light
46,6,Car,Right Lane,2,2,Light
46,10,Car,Left Lane,2,2,Light
46,11,Car,Left Lane,2,2,Light
47,1,Car,Right Lane,2,2,Light
47,6,Car,Right Lane,2,2,Light
47,10,Car,Left Lane,2,2,Light
47,11,Car,Left Lane,2,2,Light
48,1,Car,Right Lane,2,2,Light
48,6,Car,Right Lane,2,2,Light
48,10,Car,Left Lane,2,2,Light
48,11,Car,Left Lane,2,2,Light
49,1,Car,Right Lane,3,2,Light
49,6,Car,Right Lane,3,2,Light
49,10,Car,Left Lane,3,2,Light
49,11,Car,Left Lane,3,2,Light
49,13,Car,Left Lane,3,2,Light
50,1,Car,Right Lane,3,2,Light
50,6,Car,Right Lane,3,2,Light
50,10,Car,Left Lane,3,2,Light
50,11,Car,Left Lane,3,2,Light
50,13,Car,Left Lane,3,2,Light
51,1,Car,Right Lane,3,2,Light
51,6,Car,Right Lane,3,2,Light
51,10,Car,Left Lane,3,2,Light
51,11,Car,Left Lane,3,2,Light
51,13,Car,Left Lane,3,2,Light
52,1,Car,Right Lane,3,2,Light
52,6,Car,Right Lane,3,2,Light
52,10,Car,Left Lane,3,2,Light
52,11,Car,Right Lane,3,2,Light
52,13,Car,Left Lane,3,2,Light
53,1,Car,Right Lane,3,2,Light
53,6,Car,Right Lane,3,2,Light
53,10,Car,Left Lane,3,2,Light
53,11,Car,Left Lane,3,2,Light
53,13,Car,Left Lane,3,2,Light
54,1,Car,Right Lane,4,1,Light
54,6,Car,Right Lane,4,1,Light
54,10,Car,Left Lane,4,1,Light
54,11,Car,Left Lane,4,1,Light
54,13,Car,Left Lane,4,1,Light
55,1,Car,Right Lane,4,1,Light
55,6,Car,Left Lane,4,1,Light
55,10,Car,Left Lane,4,1,Light
55,11,Car,Left Lane,4,1,Light
55,13,Car,Left Lane,4,1,Light
56,1,Car,Right Lane,4,1,Light
56,6,Car,Left Lane,4,1,Light
56,10,Car,Left Lane,4,1,Light
56,11,Car,Left Lane,4,1,Light
56,13,Car,Left Lane,4,1,Light
57,1,Car,Right Lane,4,1,Light
57,6,Car,Left Lane,4,1,Light
57,10,Car,Left Lane,4,1,Light
57,11,Car,Left Lane,4,1,Light
57,13,Car,Left Lane,4,1,Light
58,1,Car,Right Lane,4,1,Light
58,6,Car,Left Lane,4,1,Light
58,10,Car,Left Lane,4,1,Light
58,11,Car,Left Lane,4,1,Light
58,13,Car,Left Lane,4,1,Light
59,1,Car,Right Lane,4,1,Light
59,6,Car,Left Lane,4,1,Light
59,10,Car,Left Lane,4,1,Light
59,11,Car,Left Lane,4,1,Light
59,13,Car,Left Lane,4,1,Light
60,1,Car,Right Lane,4,1,Light
60,6,Car,Left Lane,4,1,Light
60,10,Car,Left Lane,4,1,Light
